cgce_emp,codi_emp,fantasia_emp,razao_emp
'12395763000168',510,'J .P COMERCIAL DE ALIMENTOS','J. P. COMERCIO DE ALIMENTOS LTDA'
'56525525000103',515,'COZINHA REVAYAH','REVAYAH COMERCIO DE PRODUTOS E BEBIDAS LTDA'
'56703129000110',507,'EFATA TRANSPORTE DE VEICULOS E GUINCHOS','EFATA TRANPORTES DE VEICULOS PARA TODO O BRASIL GUINCHOS E CEGONHA LTDA'
'37780974000145',524,'TPX OFFICE','TPX INDUSTRIA DE CADEIRAS E MOVEIS PARA ESCRITORIO LTDA'
'57332067000140',526,'','J.P CONSULTORIA E SERVICOS LTDA'
'58580055000106',537,'BEZERRA & BASTOS DESIGN E DESENVOLVIMENTO DE SOFTW','ASB SOFTWARE LTDA'
'60411138000105',683,'','SEU ESPACO COMERCIO VAREJISTA DE PRODUTOS NATURAIS LTDA'
'57362450000141',527,'','OAS SERVICOS DE SAUDE LTDA'
'20951181000572',486,'','ADE COMERCIO DE CALCADOS LTDA'
'20951181000653',487,'','ADE COMERCIO DE CALCADOS LTDA'
'23343540000173',488,'ROSA MANGO','BRN COMERCIO DE CALCADOS LTDA.'
'23343540000254',489,'ROSA MANGO','BRN COMERCIO DE CALCADOS LTDA.'
'50623645000310',490,'','JOLIE-CE COMERCIO DE CALCADOS LTDA.'
'56246305000132',511,'RF CONSTRUÇÕES','RF CONSTRUCOES LTDA'
'49854503000113',513,'BLUE GIRL MAKES','K. V. LOPES MAQUIAGENS'
'02908742000579',514,'','NUTRICAO COMERCIO E SERVICOS LTDA'
'57395002000144',528,'E SIL SAUDE','E SIL SAUDE E ESTETICA LTDA'
'32976891000102',529,'A. M. DE MESQUITA','A. M. DE MESQUITA'
'58574606000110',538,'START GESTAO','START GESTAO LTDA'
'58593895000103',585,'COMPLEXO ATIVOS','COMPLEXO ATIVOS LTDA'
'32262716000153',586,'KEG ARTIGOS PARA BEBE','C. M. DA COSTA ARTIGOS PARA BEBE'
'58659231000191',587,'SUNSET KIDS','SUNSET KIDS LTDA'
'57426495000132',539,'A SIL ACADEMY','A SIL CURSOS E EVENTOS LTDA'
'45095779000104',556,'TOSHIBA GOURMET','TOSHIBA GOURMET RESTAURANTE LTDA'
'36377545000240',380,'','APORTE ADMINISTRACAO DE FUNDOS LTDA'
'53273387000116',381,'RVM SOFTWARE','RVM DESENVOLVIMENTO DE SOFTWARE LTDA'
'53273489000131',382,'','COLB ENGENHARIA LTDA'
'53248700000166',383,'LMC MODAS E CONFECCOES','LMC MODAS E CONFECCOES LTDA'
'53282367000101',384,'M & A CEREAIS','M A COMERCIO DE CEREAIS LTDA'
'53308783000131',385,'','MCA SAUDE ATENDIMENTO MEDICO LTDA'
'43111831000143',558,'BUDEGA NA FAZENDA SERTAO E FRIOS','LUISIANA GIRAO LTDA'
'61387466000186',736,'','ORTOFACIAL PATIO DOM LUIS LTDA'
'61154994000195',737,'','ALTKOD SOLUTIONS LTDA'
'42776403000177',738,'ARANORD ARAMADOS NORDESTE','ARANORD ARAMADOS NORDESTE SERVICOS E COMERCIO LTDA'
'44137157000139',741,'SERVICAR SERVICOS','SERVICAR SERVICOS DE MANUTENCAO E REFORMA LTDA'
'61462348000195',742,'F7 SERVICOS','F7 SERVICOS E MANUTENCOES LTDA'
'19189251000194',717,'','KKD PROMOCAO DE VENDAS LTDA'
'46793514000142',720,'XWS SERVICOS DE ENTREGA','XWS PROMOCAO DE VENDAS LTDA'
'26288252000151',728,'','N ALVES DE SOUZA SERVICOS'
'31296366000183',743,'LA GRUE CULTURAL','F M BEVILAQUA ARTE E CULTURA'
'41244968000140',744,'P A COSTA AR CONDICIONADO LTDA','P. ACOSTA AR CONDICIONADO LTDA'
'49818635000190',783,'IDEAL TRASNPORTADORA LTDA','IDEAL TRANSPORTADORA LTDA'
'07302128000159',784,'FARMACIA SAMPAIO','FARMACIA SAMPAIO LTDA'
'61195452000160',785,'','FAZENDA IDEAL AGROPECUARIA LTDA'
'62714113000106',786,'','F T L COMERCIO DE PRE MOLDADOS LTDA'
'62787168000146',787,'','HENRIQUE JEANS LTDA'
'40018474000185',788,'FILE PRIME RESTAURANT','FILE PRIME RESTAURANTE LTDA'
'52587564000176',789,'ALINHARE FISIOTERAPIA','ALINHARE FISIOTERAPIA LTDA'
'51481359000169',790,'GA HIDRO','NAYANE DE SOUZA PEREIRA NASCIMENTO'
'62870391000152',792,'','V. HUGO CASTELO DOS SANTOS LTDA'
'63051679000168',793,'','WL EMPREENDIMENTOS DIGITAIS LTDA'
'60246684000138',678,'OMNI MARKETING DIGITAL','OMNI MARKETING DIGITAL LTDA'
'41393030000192',679,'VO MANNY','EMPACOTADORA DE ALIMENTOS VO MANNY LTDA'
'17389943000150',680,'COMERCIAL O NETO','COMERCIAL DE ALIMENTOS NETO LTDA'
'60449234000142',685,'','AURIOCARDIO LTDA'
'31414257000113',845,'PALUTEC REFORMAS & SERVICOS','PALUTEC REFORMAS & SERVICOS LTDA'
'65185127000178',846,'','IBF SERVICOS LTDA'
'65172465000175',847,'','FWM TURISMO LTDA'
'54307857000188',848,'TPX OFFICE','TPX OFFICE E DESIGN LTDA'
'65289235000190',849,'','HEATTECH SERVICOS DE ENGENHARIA LTDA'
'65313195000175',850,'','CASA FORTE MATERIAL DE CONSTRUCAO LTDA'
'43029490000161',634,'ON FIRE','C M DANTAS'
'08994871000260',635,'BEZERRA OCULOS','BESERRA & SILVA COMERCIO DE OCULOS LTDA'
'10968080000208',636,'','A & S COMERCIO DE ARTIGOS OPTICOS LTDA'
'52350971000165',638,'DELICIAS DA FAZENDA','G A ANDRADE DE OLIVEIRA'
'57192638000199',588,'','INDUSTRIA DE ALIMENTOS MULTIGRAOS LTDA'
'37599533000141',589,'','GABRIEL B. SOUZA'
'42004932000152',590,'SOLDEV','SOLDEV TECNOLOGIA LTDA'
'58816151000100',591,'','BESSA IMOVEIS & GESTAO S.A.'
'58864354000164',592,'SEREIA BLUEE MODA PRAIA','SEREIA BLUEE MODA PRAIA LTDA'
'58920995000199',594,'RST PRODUTOS','RST SOLUCOES EM PRODUTOS LTDA'
'58976278000189',596,'ADR SPORTS','ADR SPORTS LTDA'
'45283110000146',597,'','ANNA B. H. CHAVES'
'59002604000110',598,'STETYCOYS SAUDE','CLINICA STETYCO''S SAUDE E PERFOMANCE LTDA'
'36405115000103',601,'PET & GROOMER','PET & GROOMER LTDA'
'20207994000129',602,'LW GONDOLAS E CHECK OUTS','L W INDUSTRIA E COMERCIO DE GONDOLAS E CHECK OUTS LTDA'
'59066147000127',603,'CENTER CAR SOLUCOES AUTOMOTIVAS','CENTER CAR SOLUCOES AUTOMOTIVAS LTDA'
'62118403000197',767,'','FITNESS LIFE ACADEMIA LTDA'
'63114906000157',794,'','BILLTT TENDAS FABRICACAO E SERVICOS LTDA'
'66533682000106',875,'','FACCIOLI SOLUCOES DIGITAIS LTDA'
'62109993000191',876,'','62.109.993 CICERO COSTA MOREIRA'
'61700773000175',877,'KAZA DRINK&PUB','H. ERIC MOREIRA DE ANDRADE E CIA LTDA'
'41945960000101',878,'RETIFICA NORTHE','EMANOEL VICTOR LIMA VIANA'
'12981026000147',879,'SUPER CUMBUCO','MERCANTIL SUPER CUMBUCO LTDA'
'66775300000150',880,'','FOOD SELF IRMAOS HILBERT LTDA'
'00224205000150',559,'','CBV BEBIDAS LTDA'
'46972192000107',560,'LAMBDA 0 STUDIO','HENRIQUE ARTUR CORDEIRO GOMES'
'08242533000191',561,'REALIZA CONSTRUCOES','REALIZA CONSTRUCOES E SERVICOS LTDA'
'42299117000168',562,'NORDESTE DISTRIBUIDORA','NORDESTE DISTRIBUIDORA DE GLP, AGUA , MATERIAIS ELETRICOS E DE INFORMATICA LTDA'
'21196487000108',563,'COOPAAGRO','COOPERATIVA AGROPECUARIA E DE SERVICOS NOSSA SENHORA APARECIDA COOPAAGRO'
'31649378000144',815,'AFRICA PLASTICOS','NARCICIO A MENDES'
'33537132000106',566,'COOPAEJO','COOPERATIVA AGROECOLOGICA E DE SERVICOS SAO JOAO BATISTA COOPAEJO'
'28859335000189',567,'NORDESTE DISTRIBUIDORA','NORDESTE DISTRIBUIDORA DE GLP, AGUA E SERVICOS UNIPESSOAL LTDA'
'40987616000112',568,'RR PIZZARIA E MASSAS','RR PIZZARIA E MASSAS LTDA'
'57848842000115',569,'','57.848.842 MARIANA CARDOSO DE SENNA'
'51899757000108',573,'MUNDO DAS BEBIDAS','RAIMUNDA RAULINO DO NASCIMENTO SILVA BEBIDAS E MERCEARIA'
'58130704000169',574,'OCULART OTICA','OCULART OTICA MESSEJANA LTDA'
'58181104000120',579,'','NOVA EMPORIO RS LTDA'
'56386646000103',581,'','I. M. DE SOUSA ALIMENTOS'
'58320892000198',583,'','VITOR OLIVEIRA SERVICOS E NEGOCIOS LTDA'
'57880895000113',584,'','J F S DO NASCIMENTO SERVICOS'
'47025971000150',531,'LANN CONSULT E FINANCAS','LANN CONSULT E FINANCAS LTDA'
'49616657000177',532,'ERGON GESTAO FINANCEIRA','L&L CONSULTORIA E GESTAO FINANCEIRA LTDA'
'52163811000107',535,'EATECH SOLUCOES','EATECH SOLUCOES LTDA'
'55907806000150',536,'','HOLANDA CONSTRUCOES E ENGENHARIA LTDA'
'59011922000147',604,'ABINP','AGENCIA BARRETO DE INTELIGENCIA PRIVADA LTDA'
'59199280000151',608,'USF ENERGIA','U S F ENERGIA LTDA'
'11805777000140',609,'','INBRASOL INDUSTRIA DE PRODUTOS OPTICOS LTDA.'
'08994871000180',610,'FERROVIA','BESERRA & SILVA COMERCIO DE OCULOS LTDA'
'10712266000110',611,'FERROVIA','E & E COMERCIO DE ARTIGOS OPTICOS LTDA'
'22850504000133',612,'FERROVIA','CARIRI COMERCIO DE ARTIGOS OPTICOS LTDA'
'02174437000177',613,'FERROVIA','PLANETA FERROVIA COMERCIO DE PRODUTOS OPTICOS LTDA'
'00091966000181',614,'FERROVIA','FERROVIA INDUSTRIA E COMERCIO DE PRODUTOS OPTICOS LTDA'
'29159044000140',616,'','DA TERRA INDUSTRIA DE PRODUTOS OPTICOS LTDA'
'10968080000127',617,'','A & S COMERCIO DE ARTIGOS OPTICOS LTDA'
'10460692000104',618,'FERROVIA','M. S. COMERCIO DE ARTIGOS OPTICOS LTDA'
'03854920000165',619,'FERROVIA','S & A COMERCIO DE ARTIGOS OPTICOS LTDA'
'10490017000128',620,'FERROVIA FRANCHISING','FERROVIA ADMINISTRADORA DE FRANCHISING LTDA'
'21271872000164',621,'FERROVIA','R M COMERCIO DE ARTIGOS OPTICOS LTDA'
'59255838000179',622,'SK CENTRO AUTOMOTIVO','SILVESTRE E CASTRO SERVICOS LTDA'
'59327641000106',625,'P A B SERVICOS','P A B SERVICOS LTDA'
'39615700000126',626,'','ANTONIA DAS GRACAS DA SILVA PAIXAO'
'59399140000127',629,'QUARTZO PARAIBA','QUARTZO PARAIBA LTDA'
'59398998000177',630,'','ESTALEIRO SERVICOS ADMINISTRATIVOS E ENTREGAS LTDA'
'02174437000410',631,'PLANETA FERROVIA','PLANETA FERROVIA COMERCIO DE PRODUTOS OPTICOS LTDA'
'59428585000198',633,'OTICA RT','OTICA RT LTDA'
'37096002000136',640,'PIZZARIA SANTA MARGHERITA','PIZZARIA SANTA MARGHERITA LTDA'
'48198686000101',641,'C M COMERCIO E CONFECCAO','C M COMERCIO E VESTUARIO'
'59530557000187',642,'ANNA FLOR CONCEITO','ANNA FLOR CONCEITO LTDA'
'58672444000153',643,'BRENA BRULEE CONFEITARIA','MARIA BRENA IVYNA SILVA MOREIRA'
'11153274000137',644,'','CMB GESTAO EMPRESARIAL S/S LTDA'
'51496679000192',645,'FMB','FMB PARTICIPACOES E INVESTIMENTOS LTDA'
'31503175000145',647,'S NENEM AGUIAR','FRANCISCO SAMUEL DO NASCIMENTO PINTO'
'59579418000148',648,'NEXTTRIP LTDA','NEXTTRIP LTDA'
'59637586000142',649,'DAVI MULTIMARCAS','DAVI VIEIRA DA SILVA LTDA'
'17608115000247',715,'PRAIA E MAR','COMERCIAL PRAIA & MAR EIRELI'
'17608115000328',716,'COMERCIAL PRAIA E MAR','COMERCIAL PRAIA & MAR EIRELI'
'61523567000137',745,'','DUNA BUSINESS SOLUTIONS LTDA'
'17608115000166',718,'SUPERMERCARDO PRAIA E MAR','COMERCIAL PRAIA E MAR LTDA'
'06028708000137',719,'MJ 4 INVESTIMENTOS','MJ 4 GESTAO E ADMINISTRACAO DE IMOVEIS LTDA'
'61543087000138',746,'','A4 AR CONDICIONADO LTDA'
'47415615000142',721,'','MJ GESTAO E ADMINISTRACAO DE IMOVEIS LTDA'
'47912801000197',722,'MJ 2 INVESTIMENTOS','MJ 2 GESTAO E ADMINISTRACAO DE IMOVEIS LTDA'
'08822285000158',723,'SUPERMERCADO PRAIA & MAR','COMERCIAL PRAIA E MAR EIRELI'
'08822285000158',724,'PRAIA E MAR','COMERCIAL PRAIA E MAR EIRELI'
'47912672000137',725,'MJ 3 INVESTIMENTOS','MJ 3 GESTAO E ADMINISTRACAO DE IMOVEIS LTDA'
'61559355000100',747,'','JAV DECORACOES E INTERMEDIACOES LTDA'
'60979719000148',729,'','ENCANTO DA SEREIA LTDA'
'59704622000143',652,'UP ADMINISTRATIVO','UP ADMINISTRATIVO LTDA'
'53804172000184',653,'LW GONDOLAS SERVICOS E COMERCIO','L.W. GONDOLAS SERVICOS E COMERCIO LTDA'
'51640200000140',654,'FINOCELL MOZART','FINOCELL MOZART LTDA'
'54527271000129',651,'FINO CELL VARIEDADES JATOBA','FINO CELL VARIEDADES JATOBA LTDA'
'59790955000132',655,'BUDEGA DA FAZENDA','M.V GIRAO LATICINIOS LTDA'
'45768013000143',656,'GARAGEM ASPECTO ZERO','CENTERCAR SERVICOS PARA AUTOS LTDA'
'10448032000108',657,'********','AGUANAMBI SERVICOS PARA AUTOS LTDA'
'32081521000107',658,'AGUA BOM JESUS','INDUSTRIA DE AGUA BOM JESUS LTDA'
'24736676000106',659,'JULIANA FREITAS PODOLOGA','JULIANA DE FREITAS CASTRO RABELO ATIVIDADES DE ESTETICA'
'59876406000185',662,'','VITOR ACESSORIOS E PECAS AUTOMOTIVAS LTDA'
'59926904000195',663,'MIRDAN TRANSPORTES','MIRDAN TRANSPORTES LTDA'
'24111139000170',664,'JS ATACADO','JAS SAMPAIO COMERCIAL DE ALIMENTOS LTDA'
'58482767000184',665,'','EMF SERVICOS E TELECOM LTDA'
'60021978000161',666,'DERMAVITALLE','DERMAVITALLE LTDA'
'41550666000109',768,'MERCADINHO IDEAL','MA DE ALMEIDA COMERCIO DE ALIMENTOS IDEAL LTDA'
'41550666000281',769,'MERCADINHO IDEAL','MA DE ALMEIDA COMERCIO DE ALIMENTOS IDEAL LTDA'
'58646521000109',771,'','STARTING GESTAO FINANCEIRA LTDA'
'10793168000155',772,'ABC DOS EXTINTORES','ABC DOS EXTINTORES COMERCIO E MANUTENCAO DE MATERIAIS CONTRA INCENDIOS LTDA'
'62299084000163',773,'','MAIS ARAMADOS LTDA'
'60018792000153',667,'DEBITT CONTABILIDADE DIGITAL LTDA','DEBITT GESTAO E TECNOLOGIA LTDA'
'60014747000120',668,'','BILLTT TENDAS COMERCIO E SERVICOS LTDA'
'57069753000170',669,'COMERCIAL DUDA MIX','COMERCIAL DE ALIMENTOS DUDA MIX LTDA'
'60044271000170',670,'BESSA COMERCIO DE CONFECCOES','BESSA COMERCIO DE CONFECCOES LTDA'
'59575170000147',671,'','J.S. SERVICOS LTDA'
'47497381000120',673,'SOU LUZ ENERGY','SOU LUZ ENERGY - ENERGIAS RENOVAVEIS LTDA'
'60170181000126',675,'AR MERCADINHO','AR MERCADINHO LTDA'
'60169250000181',676,'','NOVA MIX SERVICOS CONFEITARIA E CONSULTORIA LTDA'
'60169308000197',677,'','NOVA ADMINISTRATIVO LTDA'
'60448228000170',686,'','A R C J ODONTOLOGIA LTDA'
'60451983000104',687,'','PIZZARIA SANTA MARGHERITA BOAVENTURA LTDA'
'10421036000100',681,'FORTALS PRE-MOLDADOS','FORTALS PRE- MOLDADOS LTDA'
'27614305000140',682,'FORTAL PREMOLDADOS','FORTAL PREMOLDADOS LTDA'
'38029957000133',688,'EOLIA WIND SERVICES','EOLIA WIND SERVICES MANUTENCAO EM AEROGERADORES LTDA'
'58586725000193',689,'COMPLEXO ARENA','COMPLEXO ARENA LTDA'
'50623645000744',691,,'JOLIE-CE COMERCIO DE CALÇADOS LTDA'
'60593342000194',692,'','EOLIA RENOVAVEIS LTDA'
'60593549000169',693,'','EOLIA SERVICOS EM ALTURAS E ESPACOS CONFINADOS LTDA'
'60547558000113',694,'','L.M. CARVALHO MODAS E CONFECCOES LTDA'
'60585518000166',695,'','CUIDADO FARMA COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS LTDA'
'60537084000129',696,'','TOP AMBIENTAL SERVICOS LTDA'
'43564705000144',697,'','JOSE NILSON MAIA JUNIOR'
'60664657000185',699,'','60.664.657 LARA FREITAS DIAS'
'60570708000100',700,'','ANDRADE OLIVEIRA TREINAMENTOS LTDA'
'60696867000155',701,'PETIT TETE','2E ECOM COMERCIO DE ROUPAS LTDA'
'60708240000177',702,'AGILIZARTI','AGILIZARTI LTDA'
'55973695000180',753,'METALURGICA SANTA MARIA','METALURGICA SANTA MARIA LTDA'
'61799099000128',754,'','GML INSTALACOES LTDA'
'51907369000113',756,'','B&R TELECOM LTDA'
'47237447000142',757,'DOMMI ACRILICOS','DOMMI ACRILICOS LTDA'
'60783951000106',703,'','MX PLANEJADOS LTDA'
'60010459000106',704,'','R V R SERVICOS E TURISMO LTDA'
'60847838000147',705,'','J. SERVICOS ENTREGA LTDA'
'16981259000109',706,'FINOCELL','FINOCELL MARA LTDA'
'54619092000111',707,'FINOCELL VARIEDADES E ACESSORIOS E ELETRONICOS','FINOCELL VARIEDADES E ACESSORIOS E ELETRONICOS LTDA'
'32176867000199',708,'FINOCELL IMPORTADOS','FINOCELL COMERCIO DE ELETRONICOS IMPORTADOS LTDA'
'32202914000121',709,'KRONUS','KRONUS VARIEDADES LTDA'
'60872237000194',710,'','D K HOLANDA SERVICOS MEDICOS LTDA'
'60879472000198',711,'','S&S FRIOS E ALIMENTOS LTDA'
'05291552301',712,,'MARIANA CARDOSO DE SENNA'
'60913223000171',713,'','B. L. V. M. CLINICA DE PSICOLOGIA LTDA'
'44322282000119',714,'FARMACIAS SANTAS CHAGAS','ML DE SOUSA FARMACIAS LTDA'
'61016576000131',731,'','CEARA DECORACOES E INTERMEDIACOES LTDA'
'61163669000199',732,'','COMERCIO GALPAO DOS MOVEIS LTDA'
'59007303000189',733,'','59.007.303 JOAO VICTOR GEYSON SILVEIRA ARAUJO'
'21687680000133',734,'MERCADINHO XIMENES','MERCADINHO NAIARA XIMENES COMERCIAL LTDA'
'11994430000192',748,'','DIMARSAL LTDA'
'61616513000116',750,'','ALLIAH RH E CONSULTORIA LTDA'
'48929267000194',751,'CEARA GOURMET','CEARA GOURMET SERVICOS DE ALIMENTACAO LTDA'
'61706705000113',752,'','CF MILITAR INDUSTRIA E COMERCIO DE CONFECCOES E EQUIPAMENTOS LTDA'
'56991842000107',758,'GN SUBLIMAIS','GN SUBLIMAIS INDUSTRIA & COMERCIO DE CONFECCOES LTDA'
'62020322000150',759,'','M R RORIZ SERVICOS MEDICOS LTDA'
'60773913000172',760,'ACRYLUME','ACRYLUME LTDA'
'09156818000172',761,'A B C DOS EXTINTORES','MAGILA HELLEN PEREIRA'
'28941256000112',762,'LRX EQUIPAMENTOS DE COMBATE A INCENDIO','LRX COMERCIO DE EQUIPAMENTOS DE COMBATE A INCENDIO E SEGURANCA LTDA'
'16563693000160',763,'ABC DOS EXTINTORES','TIANGUA COMERCIO E MANUTENCAO DE MATERIAIS CONTRA INCENDIOS LTDA'
'21977156000105',764,'EXTINFOGO','EXTINFOGO COMERCIO E MANUTENCAO DE MATERIAIS CONTRA INCENDIO LTDA'
'62071560000194',765,'','JP NOBRE COMERCIO PECAS E ACESSORIOS AUTOMOTIVO LTDA'
'62074320000143',766,'','CONTABILIDADE MEDICA INTEGRADA LTDA'
'62302127000112',774,'','CBV BEBIDAS E DESTILADOS LTDA'
'62350943000100',775,'','HARMONIZA ODONTOLOGIA LTDA'
'62387045000118',776,'','DI OTTICA INDUSTRIA E COMERCIO DE PRODUTOS OPTICOS LTDA'
'20785430000173',777,'LED PLANET','LED PLANET IMPORTADORA E COMERCIO DE MATERIAIS ELETRICOS LTDA'
'24736676000297',778,'','JULIANA DE FREITAS CASTRO RABELO ATIVIDADES DE ESTETICA'
'62351072000130',779,'','CASA YBY AMBIENTAL LTDA'
'43457629000178',780,'','CHERIE CRISTAL LTDA'
'61512041000151',781,'','I Q F GOMES SERVICOS LTDA'
'63206383000179',795,'','T SILVA SOLUCOES EM FERRAGENS LTDA'
'44222302000180',796,'','G M M NOGUEIRA COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO'
'60424838000134',797,'','FJ AGUAS DISTRIBUIDORA LTDA'
'63274736000178',798,'','EXPOFACIL LTDA'
'34278936000109',799,'','CAROLINE DE SOUZA ALMEIDA ABRITTA LTDA'
'03580716000101',801,'HOLANDA REPRESENTACOES','ANTONIO HOLANDA REPRESENTACOES LTDA'
'63409728000191',802,'','F J ENTREGAS LTDA'
'63415973000101',803,'','HOLANDA INTERMEDIACOES LTDA'
'63426674000172',804,'NEW TIME FITNESS','ACADEMIA NEW TIME LTDA'
'63488917000105',805,'','CRIADORIA PRODUCOES DIGITAIS LTDA'
'52474336000190',806,'WILLIAM CONSTRUCOES','WILLIAM CONSTRUCOES LTDA'
'63502984000129',807,'ABRITTA LIFE','ABRITTA MEDICINA E SAUDE LTDA'
'55756503000183',808,'','LBB FISIOTERAPIA LTDA'
'60220774000150',809,'','FKNEX VARIEDADES LTDA'
'63547514000181',810,'','T S COSMETICOS LTDA'
'49295831000127',816,'','CAICO BORELLI SOCIEDADE INDIVIDUAL DE ADVOCACIA'
'64020784000100',817,'','AXIS ACELERADORA LTDA'
'07121465000140',811,'CEARA EXTINTORES','I M PEREIRA'
'18631323000149',812,'PADARIA MAR E SOL','PADARIA MAR E SOL LTDA'
'40453230000120',813,'GESSO TORRINHA','CARLIANA DA COSTA LOPES'
'64021003000194',818,'','FLUX COMEX TECNOLOGIA E NEGOCIOS LTDA'
'03175564000153',819,'','F J MELO MATERIAL DE CONSTRUCAO LTDA'
'08198069000183',820,'D C CONSTRUCOES','D C MATERIAL DE CONSTRUCAO LTDA'
'40698871000145',821,'SERDEC SERVICOS','SERDEC SOLUCOES EM VENDAS, SERVICOS DE ENTREGA & MARKETING LTDA'
'57209857000133',822,'CANEVA FITWEAR','V N INDUSTRIA E COMERCIO DE CONFECCOES LTDA'
'64036399000143',823,'RBM STAYS','RBM NEGOCIOS IMOBILIARIOS LTDA'
'64070776000160',824,'','DRA. DENISE GUERRA SERVICOS MEDICOS LTDA'
'64283304000196',826,'','PAOLA LOG E INTERMEDIACOES LTDA'
'64375792000161',827,'','M S ESCAP SERVICOS LTDA'
'64407523000130',828,'','SELECT GRAOS LTDA'
'15839645000190',829,'','TERRA DO SOL LTDA'
'',830,'TESTE','TESTE'
'58876738000105',832,'LOJA SONHO MEU','LOJA SONHO MEU LTDA'
'64497678000104',833,'','JULIANA FREITAS STUDIO LTDA'
'64530378000180',834,'','A J V 2 COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS LTDA'
'64565829000114',835,'INSTITUTO SINAPSE','FLAVIA DE MORAES LTDA'
'36965599000145',836,'FARMA BESSA','SHIRLLEY MARA BESSA PEREIRA'
'50326947000165',837,'NOVUS CONSULTORIA INTEGRADA','MACILIANA BARBOSA DE LIMA'
'03175564000234',838,'','F J MELO MATERIAL DE CONSTRUCAO LTDA'
'64980680000130',839,'','AL RAMOS SERVICOS MEDICOS LTDA'
'65017267000137',840,'','RETRO DANCING CLUB LTDA'
'65038336000199',841,'JS INCORPORACOES','JS INCORPORACOES LTDA'
'65079225000120',842,'','CEPASP INTERMEDIARIA LTDA'
'65327841000153',851,'','R&K SOLUCOES EM SAUDE LTDA'
'65349768000110',852,'','ZOVITA NUTRICAO ANIMAL LTDA'
'65379360000191',853,'','MIX FARMA POPULAR LTDA'
'19831531000154',854,'SUPPLY CHAIN','FGM SUPPLY CHAIN LTDA'
'65580713000117',855,'ESPACO PIZZA','CAMILA LUZIA DE SOUSA VALENTIM LTDA'
'62525911000190',856,'JST CONSTRUCOES','JST CONSTRUCOES SERVICOS E EMPREENDIMENTOS LTDA'
'65950145000107',857,'','ALPHAMED LOCACOES E SERVICOS LTDA'
'48964174000109',858,'A C LIMPEZA','A C PRODUTOS DE LIMPEZA E DESCARTAVEIS LTDA'
'41329903000106',859,'PMFAF PATOLOGIA','PMFAF PATOLOGIA LTDA'
'66031091000130',860,'','VIVA GESTAO LTDA'
'40625724000145',861,'ZITRONE','ZITRONE CAR CARE COMERCIO DE EQUIPAMENTOS E PRODUTOS AUTOMOTIVOS LTDA'
'66133616000149',862,'','MARREIRA JUNIOR SERVICOS E INTERMEDIACOES LTDA'
'52644975000156',863,'','VF PERFOMANCE LTDA'
'37203431000165',866,'MEU DELIVERY PRIME','CAMILA RAMOS CRUZ LTDA'
'66259406000100',867,'','NOBRE CONSULTORIA E TREINAMENTO LTDA'
'66297087000119',868,'IS360','IS360 GESTAO E PERFORMANCE LTDA'
'32067940000194',869,'ZITRONE','P H GOMES ARAUJO PRODUTOS E EQUIPAMENTOS AUTOMOTIVOS'
'14953224000122',870,'','F J XIMENES DISTRIBUIDORA DE BEBIDAS LTDA'
'48098431000169',871,'AAB ARAMADOS AURORA BRASIL','GEORGE BEZERRA PEREIRA DE LIMA'
'65635974000197',872,'','AMOR E FARMA COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS LTDA'
'37033193000197',873,'KOREFAKE ACESSORIOS TATICOS','GADELHA ACESSORIOS TATICOS LTDA'
'09520008000153',874,'','J E F COMERCIO VAREJISTA DE GAS LTDA'
'17608115000328',881,'COMERCIAL PRAIA E MAR','COMERCIAL PRAIA E MAR LTDA'
'66836481000188',882,'ACAI BEACH ICARAI','ACAI BEACH ICARAI LTDA'
'66841076000158',883,'SUL TELHA','CJE MATERIAL DE CONSTRUCAO E TRANSPORTE LTDA'
'59416707000126',884,,'BARROSO SERVICOS EM TECNOLOGIAS LTDA'
'66905376000153',885,,'G & G DISTRIBUIDORA DE BEBIDAS LTDA'
'63661795000107',886,,'MSI SERVICOS DE ENTREGA LTDA'
'30210986000195',887,'FRAN FRIOS','FRANCISCO DAS CHAGAS PINHEIRO GOMES'
'67014294000181',888,,'CLEANPROTEIN INTERMEDIACOES LTDA'
